text,label
방금 밤늦게 완전 심장이 벌렁거려 숨고 싶어. ,0
정말 아까 꽤 신난다 ㅠㅠ ,5
정말 퇴근길에 꼴 보기 싫다 ㅎㅎ,6
오늘 난 퇴근길에 말도 안 되게 심장이 벌렁거려 죽겠어 ㅠㅠ,0
지금 난 퇴근길에 엄청나게 괜히 겁난다 숨고 싶어 ㅠㅠ,0
갑자기 퇴근길에 너무 섬뜩해 도망가고 싶다?! ,0
오늘 난 이번 주 너무 머리가 맑아... ,4
하필 지금 방금 약간 신난다 좋은 일만 가득 ㅎㅎ,5
갑자기 엄청나게 하루가 빛나 완벽한 하루 ㅠㅠ ,5
진짜 출근하면서 살짝 대박 내가 방금 본 게 맞아. ,1
정말 점심 먹고 꽤 흥이 난다 오늘 최고 ㅠㅠ ,5
하필 지금 아까 말도 안 되게 대박 진짜야...,1
오늘 난 밤늦게 엄청 침울하다 혼자 있고 싶어 ㅠㅠ ,3
정말 점심 먹고 굉장히 놀랐어!! ,1
솔직히 요즘 엄청 짜증나 환장하겠네! ,2
갑자기 요즘 꽤 짜릿해?! ,5
솔직히 출근하면서 말도 안 되게 열받아 그만해? ,2
갑자기 방금 꽤 역겹다 극혐! ,6
솔직히 퇴근길에 너무 두렵다 어떡하지? ,0
진짜 출근하면서 엄청나게 이게 말이 돼 진짜야 ㅠㅠ,1
정말 말도 안 되게 겁나 정말 싫다?,0
진짜 지금 가슴이 먹먹해 어떡하니!! ,3
나 방금 완전 뇌가 쉬는 느낌 나쁘지 않다 ㅎㅎ ,4
솔직히 출근하면서 완전 슬퍼 어떡하니. ,3
하필 지금 밤늦게 너무 안정된다 좋다 ㅎㅎ ,4
진짜 엄청나게 토할 것 같아 다시는 보기 싫어 ㅎㅎ ,6
왠지 아까 살짝 마음이 편안해 좋다! ,4
방금 아까 진짜 빡친다 환장하겠네 ㅎㅎ,2
솔직히 지금 꽤 짜릿해 행운이다?,5
나 출근하면서 굉장히 평온하다 괜찮다! ,4
진짜 지금 엄청 세상에 무슨 일이야?! ,1
갑자기 이번 주 두렵다 미치겠네? ,0
정말 퇴근길에 꽤 편안하다... ,4
나 지금 완전 악몽 꿨어 미치겠네?! ,0
방금 방금 역겹다 다시는 보기 싫어?!,6
방금 퇴근길에 꽤 허전해 견디기 어렵다?! ,3
방금 방금 굉장히 마음이 잔잔해? ,4
하필 지금 오늘 엄청나게 숨이 고른다 나쁘지 않다 ㅠㅠ ,4
정말 밤늦게 약간 뇌가 쉬는 느낌 괜찮다.,4
진짜 지금 진짜 공포스러워 정말 싫다?! ,0
방금 지금 굉장히 상상도 못했네 무슨 일이야!! ,1
오늘 난 오늘 엄청나게 구리다 다시는 보기 싫어!,6
솔직히 점심 먹고 굉장히 깊은 밤이 너무 무섭다 도망가고 싶다! ,0
오늘 난 깊은 밤이 너무 무섭다 숨고 싶어? ,0
지금 난 오늘 꽤 세상에 무슨 일이야 ㅠㅠ ,1
방금 요즘 진짜 이게 말이 돼 진짜야 ㅠㅠ ,1
오늘 난 요즘 꽤 릴랙스됐다 나쁘지 않다! ,4
하필 지금 아까 굉장히 미치겠다 진짜로?!,2
정말 차분해 좋다... ,4
방금 요즘 엄청나게 버티기 힘들다?! ,3
갑자기 오늘 말도 안 되게 어이없네 무슨 일이야 ㅠㅠ ,1
방금 마음이 잔잔해 좋다?!,4
갑자기 점심 먹고 말도 안 되게 하루가 빛나 완벽한 하루! ,5
지금 난 퇴근길에 약간 어이없네 진짜야! ,1
왠지 밤늦게 굉장히 어이없네 무슨 일이야. ,1
갑자기 아까 약간 이럴 수가 무슨 일이야... ,1
지금 난 이번 주 엄청나게 꼴 보기 싫다 제발 치워줘 ㅎㅎ ,6
나 퇴근길에 엄청 낙담했어 견디기 어렵다?,3
진짜 아까 꽤 분노가 치밀어?!,2
오늘 난 오늘 엄청 꼴 보기 싫다 진짜. ,6
솔직히 요즘 꽤 마음이 잔잔해 괜찮다... ,4
지금 난 밤늦게 엄청나게 너무 불쾌해 극혐 ㅎㅎ ,6
하필 지금 오늘 굉장히 평온하다 괜찮다!! ,4
갑자기 출근하면서 살짝 우울해 혼자 있고 싶어! ,3
진짜 지금 말도 안 되게 완전 좋다 좋은 일만 가득 ㅎㅎ ,5
오늘 난 너무 인생 최고야 행운이다?!,5
진짜 아까 충격적이야?! ,1
지금 난 이번 주 완전 안정된다 그냥 이렇게 있고 싶어!! ,4
갑자기 방금 너무 역겹다 다시는 보기 싫어 ㅠㅠ ,6
지금 난 출근하면서 너무 안정된다 그냥 이렇게 있고 싶어. ,4
하필 지금 아까 굉장히 이게 말이 돼 무슨 일이야... ,1
방금 이번 주 완전 릴랙스됐다 괜찮다!,4
왠지 방금 엄청 릴랙스됐다 괜찮다!,4
왠지 밤늦게 엄청 슬퍼 견디기 어렵다 ㅎㅎ,3
솔직히 요즘 엄청나게 헐 무슨 일이야! ,1
하필 지금 퇴근길에 진짜 너무 불쾌해!! ,6
진짜 퇴근길에 어이없다 환장하겠네? ,2
방금 아까 엄청나게 마음이 들뜬다. ,5
하필 지금 지금 진짜 너무 불쾌해 다시는 보기 싫어 ㅎㅎ ,6
왠지 퇴근길에 약간 평온하다 괜찮다? ,4
하필 지금 점심 먹고 굉장히 미치겠다 말이 안 돼 ㅠㅠ,2
나 출근하면서 충격적이야 실화야?! ,1
정말 밤늦게 너무 섬뜩해 죽겠어 ㅎㅎ ,0
방금 출근하면서 말도 안 되게 눈물 난다 혼자 있고 싶어 ㅠㅠ ,3
진짜 이번 주 꽤 으스스해 정말 싫다...,0
지금 난 점심 먹고 꽤 겁나 정말 싫다 ㅎㅎ ,0
진짜 요즘 살짝 허탈하다 혼자 있고 싶어! ,3
방금 요즘 살짝 뿌듯하다 오늘 최고... ,5
갑자기 요즘 슬퍼 혼자 있고 싶어... ,3
지금 난 이번 주 굉장히 웃음이 난다... ,5
진짜 밤늦게 너무 우울해 ㅎㅎ ,3
왠지 아까 완전 마음이 편안해 좋다? ,4
진짜 이번 주 깊은 밤이 너무 무섭다 도망가고 싶다?! ,0
방금 밤늦게 엄청 혐오스러워 제발 치워줘!! ,6
방금 퇴근길에 꽤 비위 상해 극혐 ㅎㅎ ,6
갑자기 오늘 비참해 어떡하니!! ,3
진짜 아까 살짝 잔잔해!!,4
하필 지금 밤늦게 엄청 이게 말이 돼 진짜야?! ,1
정말 너무 침울하다 말문이 막혀?! ,3
솔직히 퇴근길에 말도 안 되게 잔잔해 괜찮다 ㅎㅎ ,4
오늘 난 아까 엄청 겁나 죽겠어?! ,0
솔직히 출근하면서 꽤 와 진짜 놀람 실화야... ,1
진짜 요즘 꽤 상상도 못했네!! ,1
방금 퇴근길에 엄청 괜히 겁난다 숨고 싶어.,0
정말 출근하면서 완전 진짜 화난다 ㅠㅠ ,2
진짜 말도 안 되게 헐!! ,1
방금 오늘 진짜 구리다 다시는 보기 싫어? ,6
솔직히 말도 안 되게 진절머리나?! ,6
왠지 아까 엄청 우울해 말문이 막혀 ㅎㅎ ,3
오늘 난 출근하면서 너무 더러워 극혐? ,6
나 퇴근길에 말도 안 되게 겁나! ,0
정말 이번 주 살짝 하루가 빛나? ,5
정말 지금 굉장히 미치겠다. ,2
지금 난 아까 너무 빡친다 그만해!,2
오늘 난 지금 살짝 고요하다 그냥 이렇게 있고 싶어! ,4
오늘 난 점심 먹고 엄청나게 하루가 빛나 행운이다!!,5
진짜 방금 엄청 릴랙스됐다 그냥 이렇게 있고 싶어... ,4
나 지금 진짜 진절머리나!! ,6
왠지 방금 굉장히 흥이 난다 좋은 일만 가득? ,5
오늘 난 출근하면서 너무 괜히 겁난다 어떡하지 ㅠㅠ,0
지금 난 지금 말도 안 되게 더러워. ,6
하필 지금 요즘 엄청 진짜 화난다 환장하겠네.,2
진짜 아까 진짜 세상에 내가 방금 본 게 맞아... ,1
정말 오늘 상상도 못했네 무슨 일이야!! ,1
진짜 점심 먹고 말도 안 되게 확 돌아버리겠네 진짜로? ,2
정말 지금 살짝 낙담했어 어떡하니 ㅎㅎ ,3
하필 지금 오늘 완전 완전 좋다 오늘 최고?! ,5
솔직히 이번 주 엄청 마음이 들뜬다 오늘 최고 ㅠㅠ,5
왠지 퇴근길에 살짝 너무 불쾌해 제발 치워줘? ,6
갑자기 이번 주 엄청 허전해?! ,3
지금 난 지금 엄청나게 확 돌아버리겠네 환장하겠네 ㅎㅎ ,2
솔직히 이번 주 진짜 느긋해 괜찮다? ,4
진짜 오늘 말도 안 되게 흥이 난다 오늘 최고? ,5
오늘 난 오늘 살짝 비위 상해 제발 치워줘. ,6
하필 지금 방금 너무 비참해... ,3
갑자기 너무 소름 돋는 역겨움 극혐! ,6
정말 점심 먹고 완전 대박 무슨 일이야... ,1
방금 요즘 굉장히 열받아 그만해... ,2
갑자기 꽤 역겹다! ,6
솔직히 점심 먹고 엄청 빡친다 환장하겠네...,2
하필 지금 밤늦게 빡친다 말이 안 돼! ,2
지금 난 약간 비위 상해 극혐! ,6
오늘 난 출근하면서 너무 두렵다 숨고 싶어... ,0
오늘 난 점심 먹고 약간 헐 내가 방금 본 게 맞아? ,1
방금 점심 먹고 엄청 머리가 맑아 좋다? ,4
정말 엄청나게 꼴 보기 싫다! ,6
진짜 방금 놀랐어 실화야? ,1
나 밤늦게 엄청나게 머리가 맑아 나쁘지 않다! ,4
방금 요즘 엄청 끝까지 실망이야 그만해? ,2
갑자기 요즘 진짜 어메이징하다 진짜야 ㅎㅎ,1
방금 방금 미치겠다 왜 저래!! ,2
갑자기 점심 먹고 말도 안 되게 진절머리나 진짜?,6
방금 지금 엄청 겁나 죽겠어! ,0
정말 퇴근길에 완전 진절머리나!,6
하필 지금 아까 너무 즐겁다 행운이다?! ,5
방금 점심 먹고 살짝 공포스러워 도망가고 싶다?! ,0
방금 아까 속상해 견디기 어렵다 ㅠㅠ ,3
솔직히 출근하면서 꽤 완전 좋다 ㅎㅎ ,5
나 지금 엄청 한기가 돈다 죽겠어? ,0
진짜 출근하면서 낙담했어 정말?! ,3
갑자기 이번 주 진짜 한기가 돈다 죽겠어... ,0
솔직히 출근하면서 너무 붕괴 직전 진짜로? ,2
하필 지금 이번 주 엄청나게 불안해 정말 싫다 ㅠㅠ,0
